,0
0,Alaska
1,Colorado
2,Connecticut
3,Delaware
4,Florida
5,Georgia
6,Hawaii
7,Idaho
8,Illinois
9,Indiana
10,Iowa
11,Kansas
12,Louisiana
13,Maine
14,Maryland
15,Massachusetts
16,Michigan
17,Minnesota
18,Mississippi
19,Missouri
20,Montana
21,Nebraska
22,Nevada
23,New Hampshire
24,New Jersey
25,New Mexico
26,North Carolina
27,North Dakota
28,Oklahoma
29,Oregon
30,Pennsylvania
31,Rhode Island
32,South Carolina
33,South Dakota
34,Tennessee
35,Utah
36,Vermont
37,Virginia
38,Washington
39,West Virginia
40,Wisconsin
41,Wyoming
